N	pi	err (%)
1	3.200000000000000	1.859164e+00
10	3.331178807281796	6.034715e+00
100	3.161499736951265	6.336621e-01
1000	3.143591735673124	6.363276e-02
10000	3.141792644421883	6.365906e-03
100000	3.141612653498160	6.366169e-04
1000000	3.141594653588764	6.366194e-05
10000000	3.141592853589721	6.366195e-06
100000000	3.141592673590426	6.366399e-07
1000000000	3.141592655589971	6.366764e-08
10000000000	3.141592653789451	6.355300e-09
