N	pi	err (%)
99999	3.141613	6.366232e-04
999999	3.141595	6.366201e-05
9999999	3.141593	6.366193e-06
99999999	3.141593	6.366323e-07
999999999	3.141593	6.366221e-08
9999999999	3.141593	6.355413e-09
